cold_symptom,cough,cough up mucus,dry cough,,,,,,,
cold_symptom,runny nose,watery nose,,,,,,,,
cold_symptom,ear pain,ear ache,,,,,,,,
cold_symptom,headache,head pain,,,,,,,,
cold_symptom,fatigue,tired,exhausted,cannot focus,,,,,,
cold_symptom,stiff neck,,,,,,,,,
cold_symptom,sneezing,,,,,,,,,
cold_symptom,shortness of breath,wheezing,breathless,out of air,gasping,choking,,,,
cold_symptom,sore throat,burning throat,severe sore throat,throat pain,itchy throat,,,,,
cold_symptom,stuffy nose,blocked nose,phlegm,stuffed-up,Mucous discharge,,,,,
cold_symptom,watery eyes,irritated eyes,itchy eyes,irritated eyes,red eyes,swollen eyelids,,,,
cold_symptom,fever,high temperature,chills,night sweats,feverish,,,,,
had_flu_shot,no,nope,never,not at all,by no means,no way,not really,of course not,nah,I did not
had_flu_shot,yes,yep,certainly,of course,yea,yup,of course yes,I did,done,
